Country name,indicator_code,sdg,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
Algeria,1.2.1,1,0,0,0,0,0,22.6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5.5,0,0,0,0,0,0,0,0,0,0
Algeria,1.3.1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,62,0,0,0,0,0,0,0,0,0,0
Algeria,2.1.1,2,0,0,0,0,0,0,0,0,0,0,0,10.9,10.1,9.9,9.5,9.2,9,8.5,8,7.5,7,6.2,5.8,5,4.7,4.6,4.6,0,0,0,0,0
Algeria,2.1.2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.3,0,0,0,0,0,0,0
Algeria,2.1.2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.3,0,0,0,0,0,0,0
Algeria,2.2.1,2,0,0,0,0,0,0,0,0,0,0,5.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Algeria,2.2.1,2,0,0,0,0,0,0,0,0,0,0,4.8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Algeria,2.2.1,2,0,0,0,0,0,0,0,0,0,0,5.4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Algeria,2.2.1,2,0,0,0,0,0,0,0,0,0,0,18.3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Algeria,2.2.1,2,0,0,0,0,0,0,0,0,0,0,17.7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Algeria,2.2.1,2,0,0,0,0,0,0,0,0,0,0,18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Algeria,2.2.2,2,0,0,0,0,0,0,0,0,0,0,2.8,0,7.5,0,0,0,2.9,0,0,0,0,0,0,4.1,0,0,0,0,0,0,0,0
Algeria,2.2.2,2,0,0,0,0,0,0,0,0,0,0,0,0,14.7,0,0,0,9.3,0,0,0,0,0,0,12.4,0,0,0,0,0,0,0,0
Algeria,2.2.2,2,0,0,0,0,0,0,0,0,0,0,2.8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Algeria,2.5.2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,64,0,0,0,0,0,0
Algeria,2.5.2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,63,0,0,0,0,0,0
Algeria,3.1.1,3,0,0,215,0,0,0,0,0,0,117.4,0,0,0,0,0,0,0,0,0,0,76.9,73.9,70.3,66.9,63.6,60.5,57.7,0,0,0,0,0
Algeria,3.1.2,3,0,0,76,0,0,0,0,0,0,0,92,0,90.2,0,0,0,95.2,0,0,0,0,0,96.6,0,0,0,0,0,0,0,0,0
Algeria,3.2.1,3,46.8,0,0,0,0,0,0,0,0,0,36.9,37.5,34.7,32.5,30.4,30.4,26.9,26.2,25.5,24.8,23.7,23.1,22.6,22.4,22,22.3,20.9,21,21,0,0,0
Algeria,3.2.1,3,55.7,0,0,0,0,0,0,0,0,0,43,43.5,40.2,38,35.7,35.5,31.6,31,29.7,29,27.5,26.8,26.1,26.1,25.6,25.7,24,24,24.2,0,0,0
Algeria,3.2.1,3,45.8,0,0,0,0,0,0,0,0,0,35.3,35.9,33.3,30.3,28.5,28.2,25.3,24.4,23.9,22.9,22.2,21.6,21.2,21.2,20.4,20.7,19.3,19.3,0,0,0,0
