sdg_code,indicator_code,country,availabile
1,1.1.1,Algeria,TRUE
1,1.1.1,Bahrain,FALSE
1,1.1.1,Comoros,TRUE
1,1.1.1,Djibouti,TRUE
1,1.1.1,Egypt,TRUE
1,1.1.1,Iraq,TRUE
1,1.1.1,Jordan,TRUE
1,1.1.1,Kuwait,TRUE
1,1.1.1,Lebanon,TRUE
1,1.1.1,Libya,TRUE
1,1.1.1,Mauritania,TRUE
1,1.1.1,Morocco,TRUE
1,1.1.1,Oman,TRUE
1,1.1.1,Palestine,TRUE
1,1.1.1,Qatar,FALSE
1,1.1.1,Saudi Arabia,FALSE
1,1.1.1,Somalia,TRUE
1,1.1.1,Sudan,TRUE
1,1.1.1,Syria,TRUE
1,1.1.1,Tunisia,TRUE
1,1.1.1,United Arab Emirates,FALSE
1,1.1.1,Yemen,TRUE
1,1.2.1,Algeria,TRUE
1,1.2.1,Bahrain,FALSE
1,1.2.1,Comoros,TRUE
1,1.2.1,Djibouti,TRUE
1,1.2.1,Egypt,TRUE
1,1.2.1,Iraq,TRUE
1,1.2.1,Jordan,TRUE
1,1.2.1,Kuwait,FALSE
1,1.2.1,Lebanon,TRUE
1,1.2.1,Libya,FALSE
1,1.2.1,Mauritania,TRUE
1,1.2.1,Morocco,TRUE
1,1.2.1,Oman,FALSE
1,1.2.1,Palestine,TRUE
1,1.2.1,Qatar,FALSE
1,1.2.1,Saudi Arabia,FALSE
1,1.2.1,Somalia,FALSE
1,1.2.1,Sudan,TRUE
1,1.2.1,Syria,TRUE
1,1.2.1,Tunisia,TRUE
1,1.2.1,United Arab Emirates,FALSE
1,1.2.1,Yemen,TRUE
1,1.2.2,Algeria,FALSE
1,1.2.2,Bahrain,FALSE
1,1.2.2,Comoros,FALSE
1,1.2.2,Djibouti,FALSE
1,1.2.2,Egypt,FALSE
1,1.2.2,Iraq,FALSE
1,1.2.2,Jordan,FALSE
1,1.2.2,Kuwait,FALSE
1,1.2.2,Lebanon,FALSE
1,1.2.2,Libya,FALSE
1,1.2.2,Mauritania,FALSE
1,1.2.2,Morocco,FALSE
1,1.2.2,Oman,FALSE
1,1.2.2,Palestine,FALSE
1,1.2.2,Qatar,FALSE
1,1.2.2,Saudi Arabia,FALSE
1,1.2.2,Somalia,FALSE
1,1.2.2,Sudan,FALSE
1,1.2.2,Syria,FALSE
1,1.2.2,Tunisia,FALSE
1,1.2.2,United Arab Emirates,FALSE
1,1.2.2,Yemen,FALSE
1,1.3.1,Algeria,TRUE
1,1.3.1,Bahrain,TRUE
1,1.3.1,Comoros,TRUE
1,1.3.1,Djibouti,TRUE
1,1.3.1,Egypt,TRUE
1,1.3.1,Iraq,TRUE
1,1.3.1,Jordan,TRUE
1,1.3.1,Kuwait,TRUE
1,1.3.1,Lebanon,TRUE
1,1.3.1,Libya,TRUE
1,1.3.1,Mauritania,TRUE
1,1.3.1,Morocco,TRUE
1,1.3.1,Oman,TRUE
1,1.3.1,Palestine,TRUE
1,1.3.1,Qatar,TRUE
1,1.3.1,Saudi Arabia,FALSE
1,1.3.1,Somalia,FALSE
1,1.3.1,Sudan,TRUE
1,1.3.1,Syria,TRUE
1,1.3.1,Tunisia,TRUE
1,1.3.1,United Arab Emirates,FALSE
