goal_code,indicator_code,country,availability,disaggregation
1,1.2.2,Algeria,0,Sex
1,1.4.2,Algeria,0,Sex
2,2.1.2,Algeria,0,Sex
2,2.3.2,Algeria,0,Sex
2,2.4.1,Algeria,0,Sex
3,3.5.1,Algeria,0,Sex
3,3.8.2,Algeria,0,Sex
4,4.1.2,Algeria,0,Sex
5,5.2.2,Algeria,0,Sex
5,5.a.1,Algeria,0,Sex
11,11.2.1,Algeria,0,Sex
11,11.7.1,Algeria,0,Sex
11,11.7.2,Algeria,0,Sex
10,10.2.1,Algeria,0,Sex
10,10.3.1,Algeria,0,Sex
10,10.4.2,Algeria,0,Sex
10,10.7.1,Algeria,0,Sex
10,10.7.4,Algeria,0,Sex
16,16.1.3,Algeria,0,Sex
16,16.1.4,Algeria,0,Sex
16,16.2.1,Algeria,0,Sex
16,16.2.3,Algeria,0,Sex
16,16.3.1,Algeria,0,Sex
16,16.3.3,Algeria,0,Sex
16,16.5.1,Algeria,0,Sex
16,16.6.2,Algeria,0,Sex
16,16.7.1,Algeria,0,Sex
16,16.7.2,Algeria,0,Sex
16,16.10.1,Algeria,0,Sex
16,16.10.2,Algeria,0,Sex
1,1.1.1,Bahrain,0,Sex
1,1.2.1,Bahrain,0,Sex
1,1.2.2,Bahrain,0,Sex
1,1.4.2,Bahrain,0,Sex
1,1.5.1,Bahrain,0,Sex
2,2.1.2,Bahrain,0,Sex
2,2.3.2,Bahrain,0,Sex
2,2.4.1,Bahrain,0,Sex
3,3.3.1,Bahrain,0,Sex
3,3.5.1,Bahrain,0,Sex
3,3.8.2,Bahrain,0,Sex
4,4.1.2,Bahrain,0,Sex
4,4.2.1,Bahrain,0,Sex
5,5.2.2,Bahrain,0,Sex
5,5.a.1,Bahrain,0,Sex
8,8.3.1,Bahrain,0,Sex
8,8.6.1,Bahrain,0,Sex
8,8.7.1,Bahrain,0,Sex
8,8.8.2,Bahrain,0,Sex
11,11.2.1,Bahrain,0,Sex
11,11.5.1,Bahrain,0,Sex
11,11.7.1,Bahrain,0,Sex
11,11.7.2,Bahrain,0,Sex
10,10.2.1,Bahrain,0,Sex
10,10.3.1,Bahrain,0,Sex
10,10.4.2,Bahrain,0,Sex
10,10.7.1,Bahrain,0,Sex
10,10.7.4,Bahrain,0,Sex
16,16.1.2,Bahrain,0,Sex
16,16.1.3,Bahrain,0,Sex
16,16.1.4,Bahrain,0,Sex
16,16.2.1,Bahrain,0,Sex
16,16.2.3,Bahrain,0,Sex
16,16.3.1,Bahrain,0,Sex
16,16.3.2,Bahrain,0,Sex
16,16.3.3,Bahrain,0,Sex
16,16.5.1,Bahrain,0,Sex
16,16.5.2,Bahrain,0,Sex
16,16.6.2,Bahrain,0,Sex
16,16.7.1,Bahrain,0,Sex
16,16.7.2,Bahrain,0,Sex
16,16.9.1,Bahrain,0,Sex
16,16.10.1,Bahrain,0,Sex
16,16.10.2,Bahrain,0,Sex
1,1.2.2,Comoros,0,Sex
1,1.4.2,Comoros,0,Sex
2,2.1.2,Comoros,0,Sex
2,2.3.2,Comoros,0,Sex
2,2.4.1,Comoros,0,Sex
17,17.19.2,Comoros,0,Sex
3,3.5.1,Comoros,0,Sex
3,3.8.2,Comoros,0,Sex
4,4.1.2,Comoros,0,Sex
4,4.2.1,Comoros,0,Sex
4,4.4.1,Comoros,0,Sex
5,5.2.2,Comoros,0,Sex
5,5.a.1,Comoros,0,Sex
5,5.b.1,Comoros,0,Sex
8,8.3.1,Comoros,0,Sex
8,8.8.1,Comoros,0,Sex
9,9.5.2,Comoros,0,Sex
11,11.2.1,Comoros,0,Sex
11,11.7.1,Comoros,0,Sex
11,11.7.2,Comoros,0,Sex
10,10.2.1,Comoros,0,Sex
10,10.3.1,Comoros,0,Sex
10,10.4.2,Comoros,0,Sex
10,10.7.1,Comoros,0,Sex
10,10.7.4,Comoros,0,Sex
16,16.1.1,Comoros,0,Sex
16,16.1.3,Comoros,0,Sex
16,16.1.4,Comoros,0,Sex
16,16.2.1,Comoros,0,Sex
16,16.2.2,Comoros,0,Sex
16,16.3.1,Comoros,0,Sex
16,16.3.2,Comoros,0,Sex
16,16.3.3,Comoros,0,Sex
16,16.5.1,Comoros,0,Sex
16,16.5.2,Comoros,0,Sex
16,16.6.2,Comoros,0,Sex
16,16.7.1,Comoros,0,Sex
16,16.7.2,Comoros,0,Sex
16,16.10.1,Comoros,0,Sex
16,16.10.2,Comoros,0,Sex
1,1.2.2,Djibouti,0,Sex
1,1.4.2,Djibouti,0,Sex
2,2.1.2,Djibouti,0,Sex
2,2.3.2,Djibouti,0,Sex
2,2.4.1,Djibouti,0,Sex
3,3.5.1,Djibouti,0,Sex
4,4.1.2,Djibouti,0,Sex
4,4.2.1,Djibouti,0,Sex
4,4.6.1,Djibouti,0,Sex
5,5.2.2,Djibouti,0,Sex
5,5.a.1,Djibouti,0,Sex
8,8.3.1,Djibouti,0,Sex
8,8.5.2,Djibouti,0,Sex
8,8.6.1,Djibouti,0,Sex
8,8.7.1,Djibouti,0,Sex
8,8.8.1,Djibouti,0,Sex
9,9.2.2,Djibouti,0,Sex
9,9.5.2,Djibouti,0,Sex
11,11.2.1,Djibouti,0,Sex
11,11.7.1,Djibouti,0,Sex
11,11.7.2,Djibouti,0,Sex
10,10.2.1,Djibouti,0,Sex
10,10.3.1,Djibouti,0,Sex
10,10.4.2,Djibouti,0,Sex
10,10.7.1,Djibouti,0,Sex
10,10.7.4,Djibouti,0,Sex
16,16.1.1,Djibouti,0,Sex
16,16.1.3,Djibouti,0,Sex
16,16.1.4,Djibouti,0,Sex
16,16.2.1,Djibouti,0,Sex
16,16.2.3,Djibouti,0,Sex
16,16.3.1,Djibouti,0,Sex
16,16.3.2,Djibouti,0,Sex
16,16.3.3,Djibouti,0,Sex
16,16.5.1,Djibouti,0,Sex
16,16.6.2,Djibouti,0,Sex
16,16.7.1,Djibouti,0,Sex
16,16.7.2,Djibouti,0,Sex
16,16.10.1,Djibouti,0,Sex
16,16.10.2,Djibouti,0,Sex
1,1.2.2,Egypt,0,Sex
1,1.4.2,Egypt,0,Sex
